timestamp, frameNumber, roiName, z, drPixel, drRef, confidence, userData
0.000000, 1, B37B3544, 190.000000, [0 0 6], [0 0 6], [0.056540235877037 0.056540235877037 0.056540235877037], 
0.000000, 1, A50F49E7, 190.000000, [0 0 3], [0 0 3], [0.0603465251624584 0.0603465251624584 0.0603465251624584], 
0.000000, 1, 1B96C00C, 190.000000, [0 0 16], [0 0 16], [0.0361391752958298 0.0361391752958298 0.0361391752958298], 
0.000000, 1, 89A42D1A, 190.000000, [0 0 9], [0 0 9], [0.0254128631204367 0.0254128631204367 0.0254128631204367], 
0.000000, 1, 9531C9E8, 190.000000, [0 0 14], [0 0 14], [0.0381727740168571 0.0381727740168571 0.0381727740168571], 
0.000000, 1, 98E2D7D2, 190.000000, [0 0 -13], [0 0 -13], [0.0228145532310009 0.0228145532310009 0.0228145532310009], 
0.000000, 1, CCE52F79, 190.000000, [0 6 -16], [0 0.1875 -16], [0.0191320553421974 0.0191320553421974 0.0191320553421974], 
0.296025, 2, B37B3544, 190.000000, [0 0 7], [0 0 7], [0.0589843243360519 0.0589843243360519 0.0589843243360519], 
0.296025, 2, A50F49E7, 190.000000, [0 0 9], [0 0 9], [0.0624056421220303 0.0624056421220303 0.0624056421220303], 
0.296025, 2, 1B96C00C, 190.000000, [0 1 15], [0 0.03125 15], [0.0347730033099651 0.0347730033099651 0.0347730033099651], 
0.296025, 2, 89A42D1A, 190.000000, [0 0 17], [0 0 17], [0.0242661871016026 0.0242661871016026 0.0242661871016026], 
0.296025, 2, 9531C9E8, 190.000000, [0 0 3], [0 0 3], [0.0354133360087872 0.0354133360087872 0.0354133360087872], 
0.296025, 2, 98E2D7D2, 190.000000, [0 0 8], [0 0 8], [0.021952984854579 0.021952984854579 0.021952984854579], 
0.296025, 2, CCE52F79, 190.000000, [0 2 -28], [0 0.0625 -28], [0.0198680851608515 0.0198680851608515 0.0198680851608515], 
0.592050, 3, B37B3544, 190.000000, [0 0 8], [0 0 8], [0.0599062070250511 0.0599062070250511 0.0599062070250511], 
0.592050, 3, A50F49E7, 190.000000, [0 0 8], [0 0 8], [0.0636853203177452 0.0636853203177452 0.0636853203177452], 
0.592050, 3, 1B96C00C, 190.000000, [0 0 4], [0 0 4], [0.0330488905310631 0.0330488905310631 0.0330488905310631], 
0.592050, 3, 89A42D1A, 190.000000, [0 1 27], [0 0.03125 27], [0.0252782199531794 0.0252782199531794 0.0252782199531794], 
0.592050, 3, 9531C9E8, 190.000000, [0 0 7], [0 0 7], [0.0385714434087276 0.0385714434087276 0.0385714434087276], 
0.592050, 3, 98E2D7D2, 190.000000, [1 1 19], [0.03125 0.03125 19], [0.0246612727642059 0.0246612727642059 0.0246612727642059], 
0.592050, 3, CCE52F79, 190.000000, [-1 -3 -18], [-0.03125 -0.09375 -18], [0.0228127669543028 0.0228127669543028 0.0228127669543028], 
0.888076, 4, B37B3544, 190.000000, [0 0 4], [0 0 4], [0.0595812499523163 0.0595812499523163 0.0595812499523163], 
0.888076, 4, A50F49E7, 190.000000, [0 0 5], [0 0 5], [0.0677076056599617 0.0677076056599617 0.0677076056599617], 
0.888076, 4, 1B96C00C, 190.000000, [0 0 -6], [0 0 -6], [0.0339076034724712 0.0339076034724712 0.0339076034724712], 
0.888076, 4, 89A42D1A, 190.000000, [0 1 30], [0 0.03125 30], [0.0255712065845728 0.0255712065845728 0.0255712065845728], 
0.888076, 4, 9531C9E8, 190.000000, [0 0 8], [0 0 8], [0.0413243286311626 0.0413243286311626 0.0413243286311626], 
0.888076, 4, 98E2D7D2, 190.000000, [0 0 -11], [0 0 -11], [0.022531982511282 0.022531982511282 0.022531982511282], 
0.888076, 4, CCE52F79, 190.000000, [0 1 15], [0 0.03125 15], [0.0226267389953136 0.0226267389953136 0.0226267389953136], 
1.184101, 5, B37B3544, 190.000000, [0 0 2], [0 0 2], [0.0591186955571175 0.0591186955571175 0.0591186955571175], 
1.184101, 5, A50F49E7, 190.000000, [0 0 3], [0 0 3], [0.0691967085003853 0.0691967085003853 0.0691967085003853], 
1.184101, 5, 1B96C00C, 190.000000, [0 0 -2], [0 0 -2], [0.0352608524262905 0.0352608524262905 0.0352608524262905], 
1.184101, 5, 89A42D1A, 190.000000, [0 1 15], [0 0.03125 15], [0.0248268190771341 0.0248268190771341 0.0248268190771341], 
1.184101, 5, 9531C9E8, 190.000000, [0 0 6], [0 0 6], [0.042968176305294 0.042968176305294 0.042968176305294], 
1.184101, 5, 98E2D7D2, 190.000000, [0 -1 -9], [0 -0.03125 -9], [0.0230209119617939 0.0230209119617939 0.0230209119617939], 
1.184101, 5, CCE52F79, 190.000000, [0 3 12], [0 0.09375 12], [0.0188322700560093 0.0188322700560093 0.0188322700560093], 
